geoid,name,B08105A001,"B08105A001, Error",B08105A002,"B08105A002, Error",B08105A003,"B08105A003, Error",B08105A004,"B08105A004, Error",B08105A005,"B08105A005, Error",B08105A006,"B08105A006, Error",B08105A007,"B08105A007, Error"
14000US06037106641,"Census Tract 1066.41, Los Angeles, CA",820,120,609,113,62,39,39,22,0,12,6,10,104,49
14000US06037106642,"Census Tract 1066.42, Los Angeles, CA",873,193,734,178,27,27,7,10,12,20,0,12,93,58
14000US06037106643,"Census Tract 1066.43, Los Angeles, CA",1534,213,1251,225,106,65,0,12,1,5,6,10,170,85
14000US06037106645,"Census Tract 1066.45, Los Angeles, CA",1179,211,905,168,111,75,0,12,0,12,0,12,163,97
14000US06037106646,"Census Tract 1066.46, Los Angeles, CA",794,116,693,116,17,16,37,28,6,9,7,11,34,35
14000US06037106648,"Census Tract 1066.48, Los Angeles, CA",1521,284,1163,245,262,86,91,56,0,12,0,12,5,9
14000US06037106649,"Census Tract 1066.49, Los Angeles, CA",685,147,518,136,119,53,22,23,0,12,18,20,8,9
14000US06037107010,"Census Tract 1070.10, Los Angeles, CA",998,224,813,182,119,44,30,28,0,12,0,12,36,28
14000US06037107020,"Census Tract 1070.20, Los Angeles, CA",1557,291,1113,293,380,162,21,24,0,17,0,17,43,46
14000US06037108101,"Census Tract 1081.01, Los Angeles, CA",848,123,694,95,100,59,0,12,5,10,23,24,26,19
14000US06037108102,"Census Tract 1081.02, Los Angeles, CA",866,175,698,177,77,48,0,12,0,12,33,40,58,49
14000US06037108103,"Census Tract 1081.03, Los Angeles, CA",1105,156,958,146,65,42,10,16,0,12,9,14,63,45
14000US06037108104,"Census Tract 1081.04, Los Angeles, CA",532,128,480,114,39,38,4,7,0,12,0,12,9,11
14000US06037108201,"Census Tract 1082.01, Los Angeles, CA",1165,189,1054,193,57,51,11,17,0,17,0,17,43,33
14000US06037108202,"Census Tract 1082.02, Los Angeles, CA",1320,228,1060,215,185,93,0,17,0,17,0,17,75,77
14000US06037109100,"Census Tract 1091, Los Angeles, CA",575,144,384,109,108,45,7,11,47,43,18,30,11,16
14000US06037109200,"Census Tract 1092, Los Angeles, CA",1088,227,918,225,126,124,0,12,0,12,0,12,44,37
14000US06037109300,"Census Tract 1093, Los Angeles, CA",932,148,654,114,169,97,3,6,26,27,13,19,67,41
14000US06037109400,"Census Tract 1094, Los Angeles, CA",768,221,676,212,38,31,8,12,6,10,21,20,19,19
14000US06037109500,"Census Tract 1095, Los Angeles, CA",1027,285,770,238,150,91,44,58,34,31,0,12,29,26
14000US06037109601,"Census Tract 1096.01, Los Angeles, CA",1076,273,798,201,186,90,28,43,64,83,0,12,0,12
14000US06037109603,"Census Tract 1096.03, Los Angeles, CA",725,204,475,176,103,80,67,58,0,12,0,12,80,60
14000US06037109604,"Census Tract 1096.04, Los Angeles, CA",715,144,555,126,64,36,15,18,27,41,5,9,49,31
14000US06037109700,"Census Tract 1097, Los Angeles, CA",1050,239,882,218,96,65,9,15,35,54,0,12,28,29
14000US06037109800,"Census Tract 1098, Los Angeles, CA",1232,245,1000,214,108,102,32,44,8,12,12,21,72,42
14000US06037111100,"Census Tract 1111, Los Angeles, CA",826,158,648,134,89,60,14,12,28,29,10,10,37,25
14000US06037111201,"Census Tract 1112.01, Los Angeles, CA",1217,204,1043,203,19,21,30,33,13,18,39,49,73,50
14000US06037111202,"Census Tract 1112.02, Los Angeles, CA",1475,292,1119,244,48,37,9,13,22,27,0,17,277,129
14000US06037111204,"Census Tract 1112.04, Los Angeles, CA",1818,226,1533,222,45,30,0,17,0,17,30,44,210,73
14000US06037111205,"Census Tract 1112.05, Los Angeles, CA",1015,193,736,176,51,34,52,45,17,20,25,20,134,78
14000US06037111206,"Census Tract 1112.06, Los Angeles, CA",1300,199,991,182,158,97,63,48,0,12,39,46,49,34
14000US06037111301,"Census Tract 1113.01, Los Angeles, CA",1846,377,1399,281,270,186,12,22,34,36,37,44,94,76
14000US06037111302,"Census Tract 1113.02, Los Angeles, CA",1339,293,951,234,107,100,73,54,10,14,83,68,115,75
14000US06037111400,"Census Tract 1114, Los Angeles, CA",1977,460,1436,415,210,144,124,114,68,75,0,17,139,88
14000US06037113101,"Census Tract 1131.01, Los Angeles, CA",1268,258,1025,216,31,27,113,91,0,12,23,39,76,53
14000US06037113102,"Census Tract 1131.02, Los Angeles, CA",1033,126,876,103,53,35,24,22,8,12,49,43,23,21
14000US06037113211,"Census Tract 1132.11, Los Angeles, CA",1682,252,1189,207,100,81,95,72,0,12,18,30,280,99
14000US06037113212,"Census Tract 1132.12, Los Angeles, CA",1049,163,766,150,92,64,8,12,40,42,19,31,124,76
14000US06037113213,"Census Tract 1132.13, Los Angeles, CA",1233,224,922,199,36,34,96,67,0,17,118,114,61,39
14000US06037113231,"Census Tract 1132.31, Los Angeles, CA",688,102,561,94,19,16,4,6,0,12,13,20,91,37
14000US06037113232,"Census Tract 1132.32, Los Angeles, CA",1625,231,1256,205,71,49,42,52,19,21,10,16,227,122
14000US06037113233,"Census Tract 1132.33, Los Angeles, CA",1790,360,1056,291,238,139,284,189,12,20,17,31,183,201
14000US06037113234,"Census Tract 1132.34, Los Angeles, CA",964,184,736,141,37,33,38,40,16,22,55,50,82,53
