Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"06037403407","14000US06037403407","Census Tract 4034.07","Census Tract 4034.07, Los Angeles County, California","ca","140","00","ACSSF","0005013",,,,,"06","037",,,,"403407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2233,249,75,0,1843,0,66,0,11.15,3.36,0,82.53,0,2.96,0
"06037403408","14000US06037403408","Census Tract 4034.08","Census Tract 4034.08, Los Angeles County, California","ca","140","00","ACSSF","0005014",,,,,"06","037",,,,"403408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6434,1164,314,0,4262,21,240,433,18.09,4.88,0,66.24,0.33,3.73,6.73
"06037403500","14000US06037403500","Census Tract 4035","Census Tract 4035, Los Angeles County, California","ca","140","00","ACSSF","0005015",,,,,"06","037",,,,"403500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,775,76,28,814,0,71,102,41.53,4.07,1.5,43.62,0,3.8,5.47
"06037403600","14000US06037403600","Census Tract 4036","Census Tract 4036, Los Angeles County, California","ca","140","00","ACSSF","0005016",,,,,"06","037",,,,"403600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6895,3244,212,451,1238,0,1298,452,47.05,3.07,6.54,17.96,0,18.83,6.56
"06037403702","14000US06037403702","Census Tract 4037.02","Census Tract 4037.02, Los Angeles County, California","ca","140","00","ACSSF","0005017",,,,,"06","037",,,,"403702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3747,2217,223,0,514,5,572,216,59.17,5.95,0,13.72,0.13,15.27,5.76
"06037403703","14000US06037403703","Census Tract 4037.03","Census Tract 4037.03, Los Angeles County, California","ca","140","00","ACSSF","0005018",,,,,"06","037",,,,"403703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4646,2814,180,0,779,0,778,95,60.57,3.87,0,16.77,0,16.75,2.04
"06037403721","14000US06037403721","Census Tract 4037.21","Census Tract 4037.21, Los Angeles County, California","ca","140","00","ACSSF","0005019",,,,,"06","037",,,,"403721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4869,2853,96,62,589,0,909,360,58.6,1.97,1.27,12.1,0,18.67,7.39
"06037403722","14000US06037403722","Census Tract 4037.22","Census Tract 4037.22, Los Angeles County, California","ca","140","00","ACSSF","0005020",,,,,"06","037",,,,"403722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5785,2786,210,38,557,10,2086,98,48.16,3.63,0.66,9.63,0.17,36.06,1.69
"06037403801","14000US06037403801","Census Tract 4038.01","Census Tract 4038.01, Los Angeles County, California","ca","140","00","ACSSF","0005021",,,,,"06","037",,,,"403801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6491,3223,182,144,1241,0,1296,405,49.65,2.8,2.22,19.12,0,19.97,6.24
"06037403802","14000US06037403802","Census Tract 4038.02","Census Tract 4038.02, Los Angeles County, California","ca","140","00","ACSSF","0005022",,,,,"06","037",,,,"403802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6412,3229,296,17,796,0,1537,537,50.36,4.62,0.27,12.41,0,23.97,8.37
